FC,1046,3000990500,3000990500,9/27/2011,175.15,10844.38
FC,1046,3000990421,3000990421,9/27/2011,344.52,21330.65
FC,1046,3000990420,3000990420,9/27/2011,346.4,21448.96
FC,1046,3000990419,3000990419,9/27/2011,347.86,21538.98
FC,646,3000990422,3000990422,9/27/2011,905.1,38014.2
FC,646,3000990660,3000990660,9/27/2011,905.1,38014.2
FC,429,3000990450,3000990450,9/27/2011,704,87904.69
FC,429,3000990497,3000990497,9/27/2011,703,88215.33
FC,429,3000990448,3000990448,9/27/2011,740,92585.24
FC,27101,3000990429,3000990429,9/27/2011,1026.45,127890.75
FC,27101,3000990431,3000990431,9/27/2011,2551.33,320841.91
FC,866,3000991298,3000991298,9/27/2011,128433.53,332151.82
FC,429,3000990453,3000990453,9/27/2011,3406.5,425351.31
FC,27101,3000990432,3000990432,9/27/2011,3447.94,433595.75
FC,27101,3000990430,3000990430,9/27/2011,3474.01,436936.73
FC,351,3000990424,3000990424,9/27/2011,6321.38,717818.08
FC,866,3000990581,3000990581,9/27/2011,75912.87,1280253.87
FC,866,3000990588,3000990588,9/27/2011,88661.04,1518184.5
FC,646,3000990423,3000990423,9/27/2011,12471.5,1624135.01
FC,866,3000990583,3000990583,9/27/2011,79594.75,1639594.43
FC,866,3000990590,3000990590,9/27/2011,118202.25,2030385
FC,866,3000990585,3000990585,9/27/2011,130678.4,2282394.15
FC,27101,3000990505,3000990505,9/27/2011,17969.78,2289424.56
FC,41315,3000990717,3000990717,9/27/2011,24257.89,2310905.87
FC,27101,3000990507,3000990507,9/27/2011,21893.7,2786313.93
FC,646,3000990428,3000990428,9/27/2011,38980,4988140.02
FC,866,3000991297,3000991297,9/27/2011,123877.18,5202842.24
FC,41315,3000990718,3000990718,9/27/2011,152983.99,14204290.7
FC,82396,3000990501,3000990501,9/27/2011,248843.75,29984925.35
